,Time,EMG_zyg,EMG_cor
15249,7.625,0.028076172,0.003356934
15250,7.6255,0.022277832,0.001831055
15251,7.626,0.026245117,-0.000305176
15252,7.6265,0.032043457,0.003662109
15253,7.627,0.026550293,0.00579834
15254,7.6275,0.020751953,0.004577637
15255,7.628,0.025939941,0.003356934
15256,7.6285,0.023193359,0.001525879
15257,7.629,0.026550293,-0.004577637
15258,7.6295,0.029296875,-0.009155273
15259,7.63,0.026855469,-0.006103516
15260,7.6305,0.01953125,-0.001220703
15261,7.631,0.009765625,-0.000305176
15262,7.6315,0.00213623,-0.004272461
15263,7.632,-0.000915527,-0.004882813
15264,7.6325,-0.008850098,-0.003967285
15265,7.633,-0.012817383,-0.002441406
15266,7.6335,-0.01953125,-0.005187988
15267,7.634,-0.026245117,-0.007019043
15268,7.6345,-0.027770996,-0.00793457
15269,7.635,-0.022277832,-0.008544922
15270,7.6355,-0.02166748,-0.008239746
15271,7.636,-0.027160645,-0.009765625
15272,7.6365,-0.036315918,-0.011901855
15273,7.637,-0.032043457,-0.012207031
15274,7.6375,-0.031738281,-0.010986328
15275,7.638,-0.036010742,-0.012207031
15276,7.6385,-0.030212402,-0.010986328
15277,7.639,-0.014038086,-0.010070801
15278,7.6395,0.00793457,-0.009460449
15279,7.64,0.022583008,-0.007019043
15280,7.6405,0.023193359,-0.006103516
15281,7.641,0.01953125,-0.004272461
15282,7.6415,0.0,-0.003967285
15283,7.642,-0.006713867,-0.007019043
15284,7.6425,-0.016174316,-0.008850098
15285,7.643,-0.026550293,-0.007324219
15286,7.6435,-0.036621094,-0.006103516
15287,7.644,-0.029907227,-0.007019043
15288,7.6445,-0.011291504,-0.006713867
15289,7.645,-0.002746582,-0.003967285
15290,7.6455,0.009765625,-0.004882813
15291,7.646,0.022277832,-0.004577637
15292,7.6465,0.03112793,-0.004577637
15293,7.647,0.019226074,-0.007629395
15294,7.6475,0.006713867,-0.006408691
15295,7.648,0.012207031,-0.004272461
15296,7.6485,0.013427734,-0.001220703
15297,7.649,0.01373291,0.001831055
15298,7.6495,0.010375977,0.001525879
15299,7.65,0.007019043,0.003356934
15300,7.6505,-0.003356934,0.001831055
15301,7.651,-0.011901855,0.001220703
15302,7.6515,-0.016479492,-0.000305176
15303,7.652,-0.013122559,-0.000610352
15304,7.6525,-0.010375977,-0.000915527
15305,7.653,-0.009765625,-0.001220703
15306,7.6535,-0.008544922,-0.002746582
15307,7.654,-0.007324219,-0.007324219
15308,7.6545,-0.008544922,-0.008850098
15309,7.655,-0.007324219,-0.008239746
15310,7.6555,-0.014953613,-0.008850098
15311,7.656,-0.03112793,-0.008544922
15312,7.6565,-0.043334961,-0.00793457
15313,7.657,-0.038146973,-0.008239746
15314,7.6575,-0.03112793,-0.010986328
15315,7.658,-0.032043457,-0.012817383
15316,7.6585,-0.020446777,-0.014343262
15317,7.659,-0.018615723,-0.014648438
15318,7.6595,-0.021972656,-0.013122559
15319,7.66,-0.01373291,-0.008850098
15320,7.6605,-0.000915527,-0.008544922
15321,7.661,0.008239746,-0.009460449
15322,7.6615,0.009460449,-0.008239746
15323,7.662,0.008850098,-0.007019043
15324,7.6625,0.012207031,-0.007019043
15325,7.663,0.018920898,-0.006103516
15326,7.6635,0.02166748,-0.007019043
15327,7.664,0.028076172,-0.007019043
15328,7.6645,0.032043457,-0.002746582
15329,7.665,0.028381348,-0.003662109
15330,7.6655,0.029602051,-0.005187988
15331,7.666,0.03326416,-0.002441406
15332,7.6665,0.035705566,-0.00213623
15333,7.667,0.029296875,-0.001220703
15334,7.6675,0.02746582,0.003051758
15335,7.668,0.028381348,0.007324219
15336,7.6685,0.022888184,0.008850098
15337,7.669,0.018615723,0.009460449
15338,7.6695,0.012207031,0.01159668
15339,7.67,0.00213623,0.008544922
15340,7.6705,-0.005493164,0.008239746
15341,7.671,-0.013427734,0.00579834
15342,7.6715,-0.014648438,0.005493164
15343,7.672,-0.013122559,0.007324219
15344,7.6725,-0.018920898,0.002441406
15345,7.673,-0.021057129,-0.006713867
15346,7.6735,-0.018920898,-0.012207031
15347,7.674,-0.025634766,-0.01373291
15348,7.6745,-0.035095215,-0.016479492
